flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
272	A	1722698099.515419000	17	0x0000	192.168.1.200	8.8.8.8	64407	53
272	B	1722698099.524417000	17	0x0000	8.8.8.8	192.168.1.200	53	64407
4	A	1722697779.741148000	0	0x0000	-	-	0	0
4	B	1722697906.294395000	0	0x0000	-	-	0	0
127	A	1722697906.675648000	0	0x0000	-	-	0	0
273	A	1722698102.402748000	17	0x0000	192.168.1.197	192.168.1.255	59217	15600
274	A	1722698105.381074000	17	0x0000	192.168.1.197	239.255.255.250	52364	15600
275	A	1722698106.092238000	17	0x0000	192.168.1.1	239.255.255.250	54920	1900
276	A	1722698106.842295000	17	0x0000	192.168.1.1	239.255.255.250	52269	1900
277	A	1722698108.444096000	17	0x0000	192.168.1.197	192.168.1.255	36116	15600
278	A	1722698110.574272000	17	0x0000	192.168.1.200	8.8.8.8	63822	53
278	B	1722698110.583556000	17	0x0000	8.8.8.8	192.168.1.200	53	63822
279	A	1722698111.382056000	17	0x0000	192.168.1.197	239.255.255.250	54485	15600
280	A	1722698114.485351000	17	0x0000	192.168.1.197	192.168.1.255	35399	15600
281	A	1722698114.497209000	17	0x0000	192.168.1.137	239.255.255.250	39609	1900
283	A	1722698116.091745000	17	0x0000	192.168.1.1	239.255.255.250	40234	1900
284	A	1722698116.841719000	17	0x0000	192.168.1.1	239.255.255.250	33524	1900
73	A	1722697866.468383000	58	0x0000	fe80::fa0d:a9ff:fea1:2780	ff02::1	0	0
285	A	1722698117.384359000	17	0x0000	192.168.1.197	239.255.255.250	33580	15600
282	A	1722698114.748095000	17	0x0000	192.168.1.195	239.255.255.250	63488	1900
190	A	1722697992.350288000	58	0x0000	fe80::b887:2c84:8ff1:f34	ff02::1:3	0	0
286	A	1722698118.069702000	58	0x0000	fe80::6607:f6ff:fe53:e182	ff02::fb	0	0
287	A	1722698118.376386000	58	0x0000	fe80::1f81:5bd2:139d:2c2d	ff02::1:3	0	0
87	A	1722697874.366451000	58	0x0000	fe80::1f81:5bd2:139d:2c2d	ff02::1:ff00:2	0	0
75	A	1722697866.899826000	58	0x0000	fe80::bcdb:9bc3:9f17:65b1	ff02::1:ff17:65b1	0	0
288	A	1722698120.425038000	17	0x0000	192.168.1.197	192.168.1.255	33780	15600
74	A	1722697866.850259000	58	0x0000	fe80::b887:2c84:8ff1:f34	ff02::1:ff00:4	0	0
290	A	1722698122.429023000	17	0x0000	192.168.1.197	192.168.1.200	39896	63823
291	A	1722698122.429023000	17	0x0000	192.168.1.197	192.168.1.200	42686	63823
292	A	1722698122.957931000	17	0x0000	192.168.1.197	192.168.1.200	33091	63823
293	A	1722698123.386932000	17	0x0000	192.168.1.197	239.255.255.250	40757	15600
197	A	1722697999.400399000	58	0x0000	fe80::bcdb:9bc3:9f17:65b1	ff02::c	0	0
289	A	1722698120.950487000	17	0x0000	192.168.1.200	239.255.255.250	63823	1900
294	A	1722698123.962112000	17	0x0000	192.168.1.197	192.168.1.200	56116	63823
81	A	1722697870.443095000	58	0x0000	fe80::a00:27ff:fee8:1b90	ff02::1:ffe8:1b90	0	0
10	A	1722697785.041830000	17	0x0000	192.168.1.137	224.0.0.251	5353	5353
295	A	1722698125.588200000	17	0x0000	192.168.1.200	8.8.8.8	56546	53
295	B	1722698125.597419000	17	0x0000	8.8.8.8	192.168.1.200	53	56546
170	A	1722697960.675271000	1	0x0000	192.168.1.200	8.8.8.8	0	0
83	A	1722697871.351179000	58	0x0000	fe80::b887:2c84:8ff1:f34	ff02::1:fff1:f34	0	0
79	A	1722697868.899779000	58	0x0000	fe80::bcdb:9bc3:9f17:65b1	ff02::1:ff00:3	0	0
296	A	1722698126.466351000	17	0x0000	192.168.1.197	192.168.1.255	35549	15600
27	A	1722697804.680350000	0	0x0000	-	-	0	0
104	A	1722697885.961410000	0	0x0000	-	-	0	0
297	A	1722698127.091836000	17	0x0000	192.168.1.1	239.255.255.250	56592	1900
298	A	1722698127.841979000	17	0x0000	192.168.1.1	239.255.255.250	59352	1900
299	A	1722698129.387106000	17	0x0000	192.168.1.197	239.255.255.250	37401	15600
36	A	1722697812.843248000	0	0x0000	-	-	0	0
